,Drug_Name,Uses,Image URL,Manufacturer,Rating,Route_of_Administration
0,Momefit Nasal Spray,Sneezing runny nose allergiesTreatment Nasal congestion (blocked nose) Nasal polyps,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/a5d6c1cc0215460d93900bd8d239e313.jpg",Entod Pharmaceuticals Ltd,5.0,Spray
1,Lmx Forte 500mg/125mg Tablet,Bacterial infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/3069f97e62bf4dc285fcff8569ea28e7.jpg",Cadila Pharmaceuticals Ltd,5.0,Tablet
2,Nexopil -DSR Capsule,Gastroesophageal reflux (Acid reflux) Functional dyspepsia,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/e08fdd76362e47a88343abf79ac0d83d.jpg",Psychotropics India Ltd,5.0,Capsule
3,Abrophyll-DM Tablet,Asthma,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/sswlrz5mdwajpq9fx4op.jpg",Vivid Biotek Pvt Ltd,5.0,Tablet
4,Amlopin 10 Tablet,Hypertension (high blood pressure) Angina (heart-related chest pain),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/s5dkgt9qoly5ofhgfmh1.jpg",USV Ltd,5.0,Tablet
5,Atorsave Gold 20 Capsule,Heart attack,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/ned8ssqrhjp0ovvrnaf9.jpg",Eris Lifesciences Ltd,5.0,Capsule
6,Tacrocord 1mg Capsule,organ rejection transplant patients,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/721a38c9e50e4467a3a978b30d223b99.jpg",Concord Biotech Ltd,5.0,Capsule
7,Nulong-OL 20 Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/rxhnua2aga3l0b8kkuzk.jpg",Micro Labs Ltd,5.0,Tablet
8,Losar-CH 12.5 Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/ae3660461ad943afb2bf83bb4d40ea5a.jpg",Torrent Pharmaceuticals Ltd,5.0,Tablet
9,Sotret NF 16mg Capsule,Acne,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/2dcb39c7de364619989b89d39c94322e.jpg",Sun Pharmaceutical Industries Ltd,5.0,Capsule
10,Levomil 40 Capsule ER,Depression,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/qpsjjadndinbwtlaxbm0.jpg",Intas Pharmaceuticals Ltd,5.0,ER
11,Azilura 40 Tablet,Hypertension (high blood pressure) Heart failure heart attack stroke,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/e65bd981cf8244da960b1b80c5a573e2.jpg",MSN Laboratories,5.0,Tablet
12,Amide 100 Tablet,Schizophrenia,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/exvc4o5sp0gss8kt88hz.jpg",Icon Life Sciences,5.0,Tablet
13,Amigold 200 Tablet,Schizophrenia,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/x8kfqkek2bpkj23afrcg.jpg",Lupin Ltd,5.0,Tablet
14,Turbovas Gold 10 Capsule,Heart attack,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/x41ycqkp2yyk1u8kny42.jpg",Micro Labs Ltd,5.0,Capsule
15,Lax 3 Oral Suspension Sugar Free,Constipation,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/s6bhm16bu3ggoy4y0mhj.jpg",Onerous Pharma,5.0,Free
16,Amcrylate Bio-Adhesive,Closure surgical incisions,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/ou3e2ylgvr2k4uhfb8dq.jpg",Concord Drugs Ltd,5.0,Bio-Adhesive
